Time (UTC);Open;High;Low;Close
21.04.2022 09:00;1,09212;1,09251;1,0908;1,09141
21.04.2022 10:00;1,0914;1,09216;1,08998;1,09003
21.04.2022 11:00;1,09003;1,09011;1,08744;1,08797
21.04.2022 12:00;1,08801;1,08933;1,08756;1,0891
21.04.2022 13:00;1,0891;1,0896;1,08705;1,08719
21.04.2022 14:00;1,08718;1,08758;1,08411;1,08427
21.04.2022 15:00;1,08427;1,08595;1,08367;1,08419
21.04.2022 16:00;1,08419;1,08498;1,0833;1,08435
21.04.2022 17:00;1,08436;1,08582;1,08374;1,08496
21.04.2022 18:00;1,08496;1,08511;1,08377;1,08384
21.04.2022 19:00;1,08382;1,08419;1,08305;1,08383
21.04.2022 20:00;1,08385;1,08421;1,08305;1,0832
21.04.2022 21:00;1,0832;1,08381;1,0832;1,08359
21.04.2022 22:00;1,08359;1,08397;1,08327;1,08394
21.04.2022 23:00;1,08394;1,084;1,08336;1,08349
22.04.2022 00:00;1,08349;1,08429;1,08318;1,08373
22.04.2022 01:00;1,08373;1,08465;1,08358;1,08406
22.04.2022 02:00;1,08407;1,08445;1,08348;1,08406
22.04.2022 03:00;1,08407;1,08419;1,08308;1,08413
22.04.2022 04:00;1,08413;1,08504;1,08407;1,08456
22.04.2022 05:00;1,08454;1,08515;1,08386;1,08458
22.04.2022 06:00;1,08456;1,08514;1,08249;1,0826
22.04.2022 07:00;1,08259;1,08287;1,08028;1,08063
22.04.2022 08:00;1,0807;1,08112;1,07902;1,07982
22.04.2022 09:00;1,07984;1,08086;1,07921;1,08056
22.04.2022 10:00;1,08055;1,08157;1,07992;1,08157
22.04.2022 11:00;1,08155;1,0825;1,08142;1,08212
22.04.2022 12:00;1,08214;1,08231;1,08149;1,08192
22.04.2022 13:00;1,08194;1,08448;1,08024;1,0806
22.04.2022 14:00;1,0806;1,08168;1,07754;1,0776
22.04.2022 15:00;1,07761;1,07919;1,07707;1,07888
22.04.2022 16:00;1,0789;1,07917;1,07762;1,07793
22.04.2022 17:00;1,07793;1,0795;1,07783;1,07877
22.04.2022 18:00;1,07875;1,07949;1,07846;1,07861
22.04.2022 19:00;1,07863;1,08002;1,07863;1,07932
22.04.2022 20:00;1,07929;1,08021;1,07908;1,07947
24.04.2022 21:00;1,08041;1,08099;1,07968;1,08066
24.04.2022 22:00;1,08067;1,08153;1,0796;1,08063
24.04.2022 23:00;1,08061;1,08121;1,0804;1,08093
25.04.2022 00:00;1,08093;1,08119;1,07998;1,0802
25.04.2022 01:00;1,0802;1,08044;1,07836;1,0787
